Entity,BiType,Type,Shape,Color,Type.Name,Grouped.Sectors,Loc.Reg.All,Loc.Reg.Gov,Date of Proj Inception,Date of Proj Completion,Project.Age,Central ,Regional Central,Local Central, Organization,None,All counties,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma,Online Only,Sum Counties,Classified,Spatial Scale
1Microsoft,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Microsoft,,1,,,,,,,,,,,9,1,9
1Mirant,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Mirant Delta,,,,1,,,,,,,,,1,1,1
1MLKCo,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,MLK Coalition,,1,,,,,,,,,,,9,1,9
1MMWD,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Marin Municipal Water District,,,,,1,,,,,,,,1,1,1
1Moffatt,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Moffatt and Nichol,,1,,,,,,,,,,,9,1,9
1MonoDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Mono County Public Health Department,1,,,,,,,,,,,,0,1,0
1MontaraSanD,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Montara Sanitary District,1,,,,,,,,,,,,0,1,0
1Morrison,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Morrison and Associates,,1,,,,,,,,,,,9,1,9
1MROSD,1,5,50,,Environmental Districts,Local Government,Local,Local Government,,,,,,,Midpeninsula Regional Open Space District,,,,,,,,1,,,,,1,1,1
1MTC,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,Metropolitan Transportation Commission,,1,,,,,,,,,,,9,1,9
1MVS,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Marin Valley Streamkeepers,,,,,1,,,,,,,,1,1,1
1MWDSC,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Metropolitan Water District of Southern California,1,,,,,,,,,,,,0,1,0
1NAC,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,National Association of Counties,,1,,,,,,,,,,,9,1,9
1NAM,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Newcomb Anderson  McCormick,,1,,,,,,,,,,,9,1,9
1NapaFlood,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Napa County Flood Control and Water Conservation District,,,,,,1,,,,,,,1,1,1
1NapaMAD,1,5,50,,Environmental Districts,Local Government,Local,Local Government,,,,,,,Napa County Mosquito Abatement District,,,,,,1,,,,,,,1,1,1
1NapaRCD,1,5,50,,Environmental Districts,Local Government,Local,Local Government,,,,,,,Napa County Resources Conservation District,,,,,,1,,,,,,,1,1,1
1NASA,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,NASA,,1,,,,,,,,,,,9,1,9
1NBAA,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,North Bay Agricultural Alliance,,,,,,,,,,,1,,1,1,1
1NBCAI,1,10,50,,Consortium,Local Government,Local,Local Government,,,,,,,North Bay Climate Adaptation Initiative,,,,,,,,,,,1,,1,1,1
1NBOP,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,North Bay Organizing Project,,,,,,,,,,,1,,1,1,1
1NBWA,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,North Bay Watershed Association,,,,,1,1,,,,,1,,3,1,3
1NCIHA,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,Northern Circle Indian Housing Authority,1,,,,,,,,,,,,0,1,0
1NCLT,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Northern California Land Trust,,,1,,,,1,,,,,,2,1,2
1NCS,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,North Coast Solar,,,,,,,,,,,1,,1,1,1
1NDWA,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,North Delta Water Agency,,,,,,,,,,1,,,1,1,1
1Nelson Nygaard,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Nelson-Nygaard,,1,,,,,,,,,,,9,1,9
1NERRS,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,National Estaurine Research Reserve System,,1,,,,,,,,,,,9,1,9
1NERT,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Neighborhood Emergency Response Team,,,,,,,1,,,,,,1,1,1
1NextEra,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,NextEra Energy Resources,,1,,,,,,,,,,,9,1,9
1NEXTracker,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,NEXTracker,,1,,,,,,,,,,,9,1,9
1NFWA,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,National Fish and Wildlife Foundation,,1,,,,,,,,,,,9,1,9
1NHI,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,National Heritage Institute,,1,,,,,,,,,,,9,1,9
1NLED,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,New Light Energy Design,,1,,,,,,,,,,,9,1,9
1NOAA,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,National Oceanic and Atmospheric Administration,,1,,,,,,,,,,,9,1,9
1NOAA CSC,1,4,50,,Government-Federal,Government-Federal,Local,Regional Government,,,,,,,National Oceanic and Atmospheric Administration - Coastal Services Center,,,,,,,,,,,,,0,,0
1NOAA FRC,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,National Oceanic and Atmospheric Administration - Fisheries Restoration Center,,1,,,,,,,,,,,9,1,9
1NOAA OCM,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,National Oceanic and Atmospheric Administration - Office for Coastal Management,,1,,,,,,,,,,,9,1,9
1NOAAFish,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,National Oceanic and Atmospheric Administration - Fisheries West Coast Region,,1,,,,,,,,,,,9,1,9
1Nomad,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Nomad Cafe,,,1,,,,,,,,,,1,1,1
1NOVA,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,NOVA Workforce Development,,,,,,,,,1,,,,1,1,1
1NovatoSanD,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Novato Sanitary District,,,,,1,,,,,,,,1,1,1
1NPS,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,National Park Service,,1,,,,,,,,,,,9,1,9
1NPS OCRP,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,National Park Service - Ocean and Coastal Resources Program,,1,,,,,,,,,,,9,1,9
1NRDC,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Natural Resources Defense Council,,1,,,,,,,,,,,9,1,9
1NRG,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,NRG Energy,,1,,,,,,,,,,,9,1,9
1OAK,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Oakland International Airport,,,1,,,,,,,,,,1,1,1
1OakCLT,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Oakland Community Land Trust (OakCLT),,,1,,,,,,,,,,1,1,1
1OakComm,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Oakland Community Action Network,,,1,,,,,,,,,,1,1,1
1OakEmerald,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Oakland Emerald Cities,,,1,,,,,,,,,,1,1,1
1OakFood,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Oakland Food Connection,,,1,,,,,,,,,,1,1,1
1OCAC,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Oakland Climate Action Coalition,,,1,,,,,,,,,,1,1,1
1OMCA,1,12,50,,Educational,Non-Government,Local,Non-Government,,,,,,,Oakland Museum of California,,,1,,,,,,,,,,1,1,1
1OneBlock,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,One Block Off the Grid,,1,,,,,,,,,,,9,1,9
1oneworld,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,oneworld,1,,,,,,,,,,,,0,1,0
1OPC,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,State of California Ocean Protection Council,,1,,,,,,,,,,,9,1,9
1OpenNeighbor,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Open Neighborhoods,1,,,,,,,,,,,,0,1,0
1OPR,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,Governor's Office of Planning and Research,,1,,,,,,,,,,,9,1,9
1Optony,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Optony,,1,,,,,,,,,,,9,1,9
1Oracle,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Oracle,,1,,,,,,,,,,,9,1,9
1OroLomaSanD,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Oro Loma Sanitary District,,,1,,,,,,,,,,1,1,1
1OurCity,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Our City,,,,,,,,,1,,,,1,1,1
1Ovatte,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,OvatteJalSerSj,1,,,,,,,,,,,,0,1,0
1OWLized,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,OWLized,1,,,,,,,,,,,,0,1,0
1PacEnv,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Pacific Environment,,1,,,,,,,,,,,9,1,9
1PacInst,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Pacific Institute,,1,,,,,,,,,,,9,1,9
1PBCS,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,Point Blue Conservation Science,,,,,1,,,,,,,,1,1,1
1PDA EB,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Progressive Democrats of America East Bay Chapter,,,1,,,,,,,,,,1,1,1
1Pepperwood,1,13,50,,Foundations and Banks,Non-Government,Local,Non-Government,,,,,,,Pepperwood Foundation,,,,,,,,,,,1,,1,1,1
1PescaMAC,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,PescaMAC,1,,,,,,,,,,,,0,1,0
1PetalumaCoC,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Petaluma Chamber of Commerce,,,,,,,,,,,1,,1,1,1
1PFT,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Pacific Forest Trust,,1,,,,,,,,,,,9,1,9
1PGE,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Pacific Gas and Electric Company,,1,,,,,,,,,,,9,1,9
1PGOGA,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,People for a Golden Gate National Recreation Area,,,,,,,1,,,,,,1,1,1
1PJA,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Progressive Jewish Alliance,1,,,,,,,,,,,,0,1,0
1Placeworks,1,8,50,,Consultants,Non-Government,Local,Non-Government,,,,,,,"Placeworks, Inc.",,,1,,,,,,,,,,1,1,1
1PMC,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Pacific Municipal Consultants,,1,,,,,,,,,,,9,1,9
1PortBenicia,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Port of Benicia,,,,,,,,,,1,,,1,1,1
1PortOakland,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Port of Oakland,,,1,,,,,,,,,,1,1,1
1PortRedwood,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Port of Redwood City,,,,,,,,1,,,,,1,1,1
1PortSF,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Port of San Francisco,,,,,,,1,,,,,,1,1,1
1Powers,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Powers Engineering,,1,,,,,,,,,,,9,1,9
1PRBO,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,Point Reyes Bird Observatory,,,,,1,,,,,,,,1,1,1
1PWA,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,"Philip Williams and Associates, Ltd.",,1,,,,,,,,,,,9,1,9
1RAN,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Rainforest Action Network,,1,,,,,,,,,,,9,1,9
1RCD,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Resources for Community Development,,,1,,,,,,,,,,1,1,1
1RCHDC,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Rural Communities Housing Development Corporation,1,,,,,,,,,,,,0,1,0
1RCI,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Resilient Communities Initiative,,1,,,,,,,,,,,9,1,9
1RCPA,1,2,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,Regional Climate Protection Authority,,1,,,,,,,,,,,9,1,9
1RE volv,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,RE-volv,,1,,,,,,,,,,,9,1,9
1RecBoaters,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Recreational Boaters of California,,1,,,,,,,,,,,9,1,9
1RedCross,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Red Cross,,1,,,,,,,,,,,9,1,9
1REEF,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Reef Innovations,,1,,,,,,,,,,,9,1,9
1Releaf,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Urban Releaf,,,1,,,,,,,,,,1,1,1
1RepHonda,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,Office of Representative Mike Honda,,1,,,,,,,,,,,9,1,9
1RGSolar,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Real Goods Solar,,,,,1,,,,,,,,1,1,1
1RichBuild,1,12,50,,Educational,Non-Government,Local,Non-Government,,,,,,,Richmond Build,,,,1,,,,,,,,,1,1,1
1RichmondPlan,1,8,50,,Consultants,Non-Government,Local,Non-Government,,,,,,,Planning Association of Richmond,,,,1,,,,,,,,,1,1,1
1RichmondWIB,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,Richmond WIB,,,,1,,,,,,,,,1,1,1
1RLF,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Resources Legacy Fund,,1,,,,,,,,,,,9,1,9
1RLG,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Resources Law Group,,1,,,,,,,,,,,9,1,9
1RMS,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Risk Management Services,,1,,,,,,,,,,,9,1,9
1Rockefeller,1,13,50,,Foundations and Banks,Non-Government,Local,Non-Government,,,,,,,Rockefeller Foundation,,,,1,,,,,,,,,1,1,1
1RockefellerBros,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,Rockefeller Brothers Fund,,1,,,,,,,,,,,9,1,9
1RossSand,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Ross Valley Sanitary District,,,,,1,,,,,,,,1,1,1
1RPP,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Resource Performance Partners,,1,,,,,,,,,,,9,1,9
1RSEC,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Rising Sun Energy Center,,,1,,,,,,,,,,1,1,1
1RTOak,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Rebuilding Together Oakland,,,1,,,,,,,,,,1,1,1
1RTSF,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Rebuilding Together San Francisco,,,,,,,1,,,,,,1,1,1
1RVWFPP,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Ross Valley Watershed and Flood Protection Program,,,,,1,,,,,,,,1,1,1
1S&E,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Schaaf & Wheeler,,1,,,,,,,,,,,9,1,9
1SacDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sacramento  County Public Health Department,1,,,,,,,,,,,,0,1,0
1Salesforce,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,Salesforce.com,,,,,,,,,,,,1,0,1,0
1SanctExpCent,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sanctuary Exploration Center,1,,,,,,,,,,,,0,1,0
1SanDiegoDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San DiegoCounty Public Health Department,1,,,,,,,,,,,,0,1,0
1SanMateoDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of San Mateo Department of Public Health,,,,,,,,1,,,,,1,1,1
1SanMateoParks,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of San Mateo Parks and Recreation,,,,,,,,1,,,,,1,1,1
1SanMateoPW,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,County of San Mateo Planning and Building Department,,,,,,,,1,,,,,1,1,1
1SanMateoRCD,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Mateo Department of Public Works,,,,,,,,1,,,,,1,1,1
1SaveBay,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Save the Bay,,1,,,,,,,,,,,9,1,9
1SaveWaves,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Save the Waves Coalition,,1,,,,,,,,,,,9,1,9
1SBSeaCent,1,12,50,,Educational,Non-Government,Local,Non-Government,,,,,,,Santa Barbara Museum of Naturl History Sea Center,1,,,,,,,,,,,,0,1,0
1SC,1,12,50,,Educational,Non-Government,Local,Non-Government,,,,,,,Skyline College,,,,,,,,1,,,,,1,1,1
1SCAC,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sonoma County Agricultural Commissioner,,,,,,,,,,,1,,1,1,1
1SCAPC,1,10,50,,Consortium,Local Government,Local,Local Government,,,,,,,Santa Clara Association of Planning Officials,,,,,,,,,1,,,,1,1,1
1SCDES,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Santa Clara County Department of Emergency Services,,,,,,,,,1,,,,1,1,1
1SCDHS,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sonoma County Department of Health Services,,,,,,,,,,,1,,1,1,1
1SCDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Santa Clara Public Health Dept,,,,,,,,,1,,,,1,1,1
1SCDRM,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Solano County Department of Resource Management,,,,,,,,,,1,,,1,1,1
1SCEIP,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sonoma County Energy Independence Program,,,,,,,,,,,1,,1,1,1
1SCES,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sonoma County Energy and Sustainability,,,,,,,,,,,1,,1,1,1
1SCEXECS,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sonoma County Executives Assocation,,,,,,,,,,,1,,1,1,1
1SCH,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,South County Housing,,,,,,,,,1,,,,1,1,1
1Schneider,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Schneider Electric,,1,,,,,,,,,,,9,1,9
1SCISD,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sonoma County Information Systems Department,,,,,,,,,,,1,,1,1,1
1SCOS,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Santa Clara Office of Sustainability,,,,,,,,,1,,,,1,1,1
1SCOSA,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Santa Clara Open Space Authority,,,,,,,,,1,,,,1,1,1
1SCPD,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Santa Clara Planning Department,,,,,,,,,1,,,,1,1,1
1SCRCPA,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sonoma County Regional Climate Protection Authority,,,,,,,,,,,1,,1,1,1
1Scripps,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,UC San Diego Scripps,1,,,,,,,,,,,,0,1,0
1SCTLUC,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sonoma County Transportation and Land Use Coalition,,,,,,,,,,,1,,1,1,1
1SCVHA,1,5,50,,Environmental Districts,Local Government,Local,Local Government,,,,,,,Santa Clara Valley Habitat Agency,,,,,,,,,1,,,,1,1,1
1SCVWD,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,Santa Clara Water Dist.,Santa Clara Valley Water District,,,,,,,,,1,,,,1,1,1
1SCWA,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Sonoma County Water Agency,,,,,,,,,,,1,,1,1,1
1SDA,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Stichting Delta Alliance,,1,,,,,,,,,,,9,1,9
1SDE,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,Sherwood Design Engineers,,1,,,,,,,,,,,9,1,9
1SDSU,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,San Diego State University,1,,,,,,,,,,,,0,1,0
1SeaGrant,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,Sea Grant USC,1,,,,,,,,,,,,0,1,0
1SEB,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,Solarize East Bay,,,1,,,,,,,,,,1,1,1
1SEC,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,Sonoma Ecology Center,,,,,,,,,,,1,,1,1,1
1SEI,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Strategic Energy Innovations,,1,,,,,,,,,,,9,1,9
1Sensity,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Sensity,,1,,,,,,,,,,,9,1,9
1SF Adapt,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,SF Adapt,,,,,,,1,,,,,,1,1,1
1SFBayJV,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,,,,San Francisco Bay Joint Venture,,1,,,,,,,,,,,9,1,9
1SFBBO,1,14,50,,Science,Non-Government,Regional,Non-Government,,,,,,,San Francisco Bay Bird Observatory,,1,,,,,,,,,,,9,1,9
1SFBRA,1,6,50,,Water Districts,Regional Government,Regional,Regional Government,,,,,,,San Francisco Bay Restoration Authority,,1,,,,,,,,,,,9,1,9
1SFBWQIF,1,13,50,,Foundations and Banks,Non-Government,Regional,Non-Government,,,,,,,San Francisco Bay Water Quality Improvement Fund,,1,,,,,,,,,,,9,1,9
1SFCJPA,1,7,50,,Government-Joint Powers,Regional Government,Regional,Regional Government,,,,,,,San Francisquito Creek Joint Powers Authority,,,,,,,,1,1,,,,2,1,2
1SFCommPow,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,,,,San Francisco Community Power,,,,,,,1,,,,,,1,1,1
1SFCWA,1,7,50,,Government-Joint Powers,Government-Regional,Regional,Regional Government,,,,,,,State and Federal Contractors Water Agency,,1,,,,,,,,,,,9,1,9
1SFDEM,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Francisco Department of Emergency Management,,,,,,,1,,,,,,1,1,1
1SFDEnv,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Francisco Department of Environment,,,,,,,1,,,,,,1,1,1
1SFDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Francisco County Public Health Department,,,,,,,1,,,,,,1,1,1
1SFEI,1,11,50,,NGO,Non-Government,Local,Non-Government,,,,San Francisco Estuary Institute,,,San Francisco Estuary Institute,,,,,,,1,,,,,,1,1,1
1SFEnvironment,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Franciso Department of Environment,,,,,,,1,,,,,,1,1,1
1SFEP,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,San Francisco Estuary Partnership,,1,,,,,,,,,,,9,1,9
1SFF,1,13,50,,Foundations and Banks,Non-Government,Local,Non-Government,,,,,,,San Francisco Foundation,,,,,,,1,,,,,,1,1,1
1SFLAFCo,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Francisco Local Agency Formation Commission (LAFCo),,,,,,,1,,,,,,1,1,1
1SFMTA,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Francisco Metropolitan Transportation Agency,,,,,,,1,,,,,,1,1,1
1SFNERR,1,14,50,,Science,Non-Government,Regional,Non-Government,,,,,,,San Francisco Bay National Estuarine Research Reserve,,1,,,,,,,,,,,9,1,9
1SFO,1,1,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Francisco International Airport,,,,,,,1,,,,,,1,1,1
1SFOEWD,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Francisco Office of Economic and Workforce Development,,,,,,1,,,,,,,1,1,1
1SFParks,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Francisco Recreation and Parks Department,,,,,,,1,,,,,,1,1,1
1SFPlanning,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Francisco Planning Department,,,,,,,1,,,,,,1,1,1
1SFPUC,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,SF Public Utilities Comm.,San Francisco Public Utilities Commission,,,,,,,1,,,,,,1,1,1
1SFPW,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,San Francisco Public Works,,,,,,,1,,,,,,1,1,1
1SFS,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Sun's Free Solar,,1,,,,,,,,,,,9,1,9
1SFSU,1,14,50,,Science,Non-Government,Local,Non-Government,,,,,,,San Francisco State University,,,,,,,1,,,,,,1,1,1
1SFTrail,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,San Francisco Bay Trail Project,,1,,,,,,,,,,,9,1,9
1SFZooSoc,1,14,50,,Science,Non-Government,Regional,Non-Government,,,,,,,San Francisco Zoological Society,,1,,,,,,,,,,,9,1,9
1SGC,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,California Strategic Growth Council,,1,,,,,,,,,,,9,1,9
1SGIA,1,4,50,,Government-Federal,Government-Federal,Regional,Regional Government,,,,,,,U.S. Environmental Protection Agency Smart Growth Implementation Assistance program,,1,,,,,,,,,,,9,1,9
1ShastaDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Shasta County Public Health Department,1,,,,,,,,,,,,0,1,0
1ShoreUp,1,10,50,,Consortium,Local Government,Local,Local Government,,,,,,,ShoreUp Marin,,,,,1,,,,,,,,1,1,1
1SHPO,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,State Historical Preservation Office,,1,,,,,,,,,,,9,1,9
1SHRP2,1,14,50,,Science,Non-Government,Regional,Non-Government,,,,,,,Strategic Highway Research Program 2,,1,,,,,,,,,,,9,1,9
1Siemens,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,Siemens,,1,,,,,,,,,,,9,1,9
1Sierra,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Sierra Club,,1,,,,,,,,,,,9,1,9
1SierraBay,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Sierra Club Bay Chapter,,1,,,,,,,,,,,9,1,9
1Sightworks,1,8,50,,Consultants,Non-Government,Local,Non-Government,,,,,,,Sightworks,1,,,,,,,,,,,,0,1,0
1SJSCRWWF,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,San Jose Santa Clara Regional Wastewater Facility,,,,,,,,,1,,,,1,1,1
1SJSU,1,1,50,,Government-City,Local Government,Local,Local Government,,,,,,,San Jose State University,,,,,,,,,1,,,,1,1,1
1SLC,1,3,50,,Government-State,Government-State,Regional,Regional Government,,,,,,,State Lands Commission,,1,,,,,,,,,,,9,1,9
1SLDMWA,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,San Luis & Delat-Mendota Water Authority,,,1,,,,,,,,,,1,1,1
